"","EEF1A1","COL1A1","ACTB","FN1","COL1A2","COL3A1","ACTG1","FTH1","TPT1","SPARC","UBC","B2M","EEF2","GAPDH","RPL3","AHNAK","XBP1","HSP90AB1","HSP90AA1","RPS4X","RPLP0","PSAP","PABPC1","RPL13A","EEF1G","RPS18","RPL41","RPS6","FTL","CD74","RPL10","HSPA8","RPS3A","RPL7","MGP","RPL4","GNAS","MYH9","TMSL3","RPS2","YWHAZ","TMBIM6","HLA-B","ALDOA","ADAM6","APP","PTMA","RPL8","RPL7A","CD24","GLUL","EIF4G2","COL6A3","PPIA","RPL15","VIM","POSTN","RPS24","RPLP1","GNB2L1","HNRNPA1","RPL9","CANX","TUBB","HLA-C","KRT8","RPS11","HSP90B1","PKM2","P4HB","C4A","RPS3","H3F3A","RPL6","RPL19","ANXA2","ITGB1","RPS8","CTSB","CALR","TUBA1B","HLA-A","RPL5","CTSD","RPL23A","FLNA","HSPA5","HNRNPA2B1","TIMP3","NPM1","RPS27","HNRNPK","TPM4","CSDE1","CLTC","JUP","PDIA3","RPL32","TMSB10","RPL30","DSP","NACA","ENO1","CFL1","RPSA","HDLBP","RPL12","MYL6","RPL11","RPL27A","KRT18","RPS12","AZGP1","RPL13","RPS20","HNRNPU","LDHA","DHCR24","IGFBP5","H3F3B","NCL","RPS23","UBB","ATP1A1","CALM2","SLC39A6","A2M","KRT19","RPL26","RPL29","TAGLN2","EIF4B","DDX5","RPS27A","PTPRF","APLP2","LOC647979","THBS1","HNRNPC","DCN","RPL23","SRRM2","LUM","IGFBP4","PCBP2","FLNB","RPS15A","RPL10A","RHOA","RPS14","SCD","ARF1","COL6A2","RPS7","RPS17","RPL39","ADAR","RPL21","CD59","BGN","EIF4A1","NUCKS1","RPL17","TPM3","HLA-DRA","RPL31","FASN","MAGED2","TXNIP","ATP5B","YWHAE","RPL37","RPL22","RPL14","AEBP1","RPL37A","HMGB1","CTNNB1","DSTN","GANAB","CD164","ITM2B","DDX17","COL6A1","CDH1","DYNC1H1","RPL24","CTNNA1","RPS10","CLU","RPL18A","RPS19","SERPINA3","BTF3","EIF1","RPS25","CD63","RPS9","SET","GATA3"
"TCGA-A1-A0SB-01A-11R-A144-07",2426857,47131,292717,32616,65165,127015,300247,49036,260554,287678,107939,23928,473076,136321,479377,135151,13718,89901,87711,195455,268877,98730,126831,273293,296652,258873,146234,248811,30479,22624,207027,69556,246302,211378,189252,249760,117600,127765,30048,187977,41653,39849,21448,29675,4106,259739,90258,124254,178741,80027,23364,64093,4866,53927,153380,170178,6434,139501,98330,200803,183980,133130,76107,85933,25738,35564,145355,70361,29915,60551,1673,144489,39115,148234,112192,37691,74131,127910,34234,38576,45754,16768,162281,30326,84614,92902,40666,35602,63240,83918,79657,48573,50478,57209,30224,29312,41328,108723,29468,66524,81732,103603,87816,29159,102670,68538,95954,34631,111296,88248,24032,112664,73194,122940,68974,35627,17952,4043,69842,45639,60821,87671,42414,70811,30551,9287,102123,4986,98775,95850,17275,87224,40263,74575,67302,66722,37169,72013,27811,12392,90470,64879,3567,16577,45785,44518,68299,112371,29076,87086,3040,20058,41224,93968,87480,72533,22057,77419,90738,15110,51866,34166,84745,9659,9245,90951,12522,15040,30133,36294,38353,69961,66444,67174,15722,75346,34475,133433,34519,38709,31843,38153,52411,34997,74419,39485,59936,38148,57133,6504,77030,81903,9572,55465,29597,62350,22263,93811,34168,1814
"TCGA-A1-A0SD-01A-11R-A115-07",719834,415707,338326,562769,372838,320876,305798,159955,122840,255438,259315,218906,91856,141954,117352,185314,199098,183239,145226,89339,90919,154011,98783,93975,65367,109659,105346,111084,71257,98481,89315,85906,89526,83904,65968,68168,133900,113674,75413,58575,142287,112075,132835,70678,159490,99514,95295,64580,81521,234152,67592,91812,102215,77567,63174,92955,118554,94993,83559,64439,74792,72310,84156,72063,118084,166658,58669,83338,56020,55626,173662,44624,56199,50610,58372,80287,89286,44597,92949,54311,45957,90862,40784,61646,52159,75386,57151,58163,88800,57767,61090,74829,59902,45677,65555,80178,80663,51128,63252,48251,71634,59287,34262,61325,35818,60409,50284,61062,41822,49312,110337,50962,51828,37172,35096,57733,46265,60796,111883,59810,55532,42154,48091,80057,47352,364935,107181,75114,40525,48722,46868,51019,49306,41899,41533,46469,81137,152672,49161,65721,42044,45514,80971,52149,52437,60134,36389,38526,61500,41718,49418,41309,53029,31551,35027,36860,88755,31024,131786,71783,42140,46495,28319,65819,37236,39206,55190,104297,81879,41665,36621,31754,32074,38663,77183,36044,34534,53011,65792,31344,64814,47977,38017,35993,58380,51055,33550,59871,31386,106918,27660,31419,302377,45741,42314,29686,47151,27934,41261,57961
"TCGA-A1-A0SE-01A-11R-A084-07",1674754,1521558,556783,621472,1130941,1208873,446437,213757,366677,546148,273391,127309,400728,330804,495060,254160,280194,268271,244377,350367,231544,156722,208159,313006,220629,341862,287759,305915,98324,106176,249896,145528,268752,228917,104792,235263,133686,228503,109375,283736,135924,172527,62678,145559,219874,203011,159492,211261,219280,85070,287746,122175,287863,124193,164941,110759,278723,185183,186395,194188,170730,179191,117288,172190,63128,126893,161328,76840,159236,123019,144775,188614,165338,110519,140922,116978,154060,154415,93866,91607,129947,59006,143176,156486,120603,132982,94144,84203,125237,101335,151599,100330,112832,100900,98342,139683,97221,135503,148705,115242,227318,124883,83444,97455,117958,124396,142523,107712,130045,116224,71494,80545,133782,145299,90802,110730,70393,146560,74697,70383,107131,145623,96214,130807,82417,206301,101192,142539,88649,137927,92044,96556,58084,108437,122718,63059,78129,62058,95530,99853,102298,94322,107838,194615,105288,147388,107334,113478,81616,114298,40285,99458,145929,83459,102125,98516,83746,88878,84171,100944,56848,105724,100203,80859,47697,107454,159377,132725,76243,63217,54358,98061,93208,99666,84558,91929,66117,77595,67442,51785,39647,54695,44059,145456,67031,70364,77772,75586,93037,68626,79535,81578,205145,81766,53413,62087,76543,91540,61890,85477
"TCGA-A1-A0SF-01A-11R-A144-07",1140822,277162,380049,81567,212931,300558,277623,136927,268342,145651,172178,119784,298722,141451,290090,101581,242205,96578,62097,245191,155091,79978,127006,222974,163808,202508,200497,123753,68422,108041,176063,45664,172536,134211,57423,117049,97453,92458,88627,159081,58534,89083,96010,88133,295604,74455,105326,130429,134248,91534,100999,47914,65864,74427,77781,55963,51054,126614,93793,117353,106822,111412,37982,62083,76128,80152,114074,36420,35117,53936,95796,101002,91486,70043,84213,35567,41864,136449,36908,60928,60295,56852,65259,67255,66369,36939,45626,53587,24792,54360,81220,51579,59533,29546,33003,60564,39388,72897,75031,64296,47511,78280,34621,51996,51222,43037,108863,56223,100862,75673,84620,82778,108476,100456,74111,55182,31256,31019,22122,35177,47061,75994,52706,27460,46659,41072,50316,58499,56254,66801,58582,52625,27773,52027,47467,31535,35767,27952,49237,55953,63376,40673,38310,75303,61932,36823,66520,68615,23439,64645,2147,47574,41086,59344,81554,76466,25434,48290,19261,40847,33648,34487,55023,39214,43776,64775,28225,74026,69302,34233,26935,51401,56925,40166,29551,52699,42652,21529,39377,27457,37541,33387,28747,35369,51532,21660,46686,27135,43245,21214,69213,61816,17762,55730,31197,51905,43136,62468,30171,37379
"TCGA-A1-A0SG-01A-11R-A144-07",660487,504250,313120,446689,408497,353738,200817,98830,156494,188348,138655,77110,121840,224443,127177,193548,250490,64612,111476,66163,60620,108944,86899,79202,79161,89546,86106,76069,58700,90721,67745,76718,77891,100975,84519,72726,103514,102503,68553,83641,103708,102123,34994,312893,30948,220569,60131,92707,61924,339498,211689,70696,134343,53390,64061,64864,119405,56598,63717,54424,42584,49226,63265,42378,28810,388893,57071,62379,55406,66207,31969,46260,45877,43021,50435,54709,57750,47795,58078,50138,43792,31422,41184,74342,44213,69513,43986,51136,49680,37694,35950,51670,96335,46497,49070,146719,50046,44059,41327,65301,42723,46272,45877,53062,30908,51770,38251,49125,47126,44450,172305,34568,103652,33356,57725,48472,53890,93732,941628,42250,43980,38345,68768,35505,41461,74611,45826,162901,46729,46011,25844,36147,36699,27651,56852,54494,41612,19166,38448,48703,34991,58751,57172,33205,39650,123518,45066,35939,39110,38053,57835,36584,64448,27793,31923,31727,30523,29873,39993,60739,36238,26746,26593,29473,43049,37533,81651,72716,51348,30336,40050,28452,37942,33788,90357,32480,27858,40200,54924,36276,28435,30217,33812,53789,42783,29404,28400,37217,28925,79296,23399,23458,7191,27166,25534,34747,29216,34433,32450,44306
"TCGA-A1-A0SH-01A-11R-A084-07",1378521,7152254,796746,3331393,5046150,4434608,446142,263639,342546,1798603,259409,155503,327855,188588,241075,423467,282931,157529,159786,179026,203550,270171,232150,154636,184507,138602,131499,133205,152990,198915,203302,142039,143174,99376,73067,155127,151577,307551,153275,111130,120087,174873,113320,93708,119050,185414,74249,109960,105586,245225,244719,125901,658619,80883,109351,227274,476793,79059,147621,103773,95127,89851,98793,140893,105718,260263,88205,87340,127129,161404,303345,84688,77205,79110,101663,151642,166664,86669,126360,119177,90472,68768,82739,136820,64255,270301,72886,61493,486899,46017,52132,74876,163054,88081,117004,187820,91169,62974,89430,62992,77970,60039,52279,98552,77096,112455,67353,92170,49384,81821,78486,68263,127372,73272,53340,60876,78979,136662,65812,64517,52500,71583,61629,105310,62279,77949,81857,233088,44747,46332,65783,59667,49271,49586,97923,67959,97480,101930,54438,388173,57984,64906,368455,201661,69668,44106,44274,58116,78020,52948,157817,78231,551021,38942,50115,60594,55143,52488,224859,304338,40497,76206,50975,36792,84117,47131,1175550,53034,42222,42622,34153,40903,44695,52276,400385,45007,54582,73827,75578,63465,70141,76455,44896,648485,56833,62841,40665,53476,43025,491574,53017,43574,98826,44230,53921,38921,78800,58779,46555,46230
"TCGA-A1-A0SI-01A-11R-A144-07",577958,2165395,398694,1872108,1765435,1801348,192730,195832,99658,796378,163488,242103,103115,86251,93729,169169,116465,93267,112690,55700,67242,159220,72221,58522,68138,55720,76681,60336,92551,160505,75483,116223,51931,40673,14841,46859,137885,159149,75327,52920,60729,76200,141039,124049,315706,179709,99717,39542,48248,70651,66474,111055,258711,62674,43972,94447,300488,37855,48858,33335,53647,34431,47205,88391,121271,67916,48956,65045,75584,94551,219952,46656,86378,33318,27756,61481,84411,33530,73699,81142,75575,122096,31547,63783,25908,98157,52919,64783,90692,26778,47162,59778,65480,47383,58008,37569,46334,31174,85366,30708,51516,38139,105931,66639,41678,61529,26472,68921,34076,38196,48667,32156,94105,26485,26880,67184,56427,82490,39674,42184,46617,25715,42581,81030,50851,13269,39132,29287,22819,29637,76038,25284,43737,29840,50820,46657,45325,59146,40752,181105,18671,47605,172515,69723,40130,37575,33152,22923,48759,22220,38262,48296,178245,22961,21372,25564,55994,23805,31438,104768,25431,52352,20103,59709,58018,25028,75429,34678,73212,35522,27180,24930,26481,23653,107741,23772,30614,46021,50985,45989,53873,36207,38462,203448,39940,44775,32109,30474,25018,52775,25866,24496,8355,27235,21814,28045,29999,25625,31330,20169
"TCGA-A1-A0SJ-01A-11R-A084-07",1059896,445787,496284,418650,352989,391673,453556,360036,245401,285705,314772,210819,169378,324222,168477,322961,327350,210776,195825,176293,84931,156625,94358,160585,134492,141991,91409,102885,210940,83831,139495,112311,139821,122275,74059,110584,400444,162917,187778,140613,190997,173622,108574,205000,463057,294448,141655,144560,81829,337576,336237,97928,159093,134915,108055,122014,131752,63185,87995,128220,92619,112787,271022,90295,118394,281891,98532,98632,151446,138448,281001,529498,131840,52777,104430,143283,133119,81829,153190,65091,93337,81051,63628,134604,90822,142454,87095,83319,136389,83925,57202,83325,78659,70855,103645,210113,118293,67089,84707,79496,97329,59438,78955,64026,74119,60578,65728,79462,67432,69073,107237,55488,188342,102369,62731,72017,60732,166329,57768,79471,75593,60411,141050,60974,75069,421264,128591,211152,46516,65136,55838,37340,133909,43699,92507,150221,156437,47257,68385,66689,66428,52548,72031,82401,54894,147179,59434,51458,87583,76517,95845,117512,102761,56042,49360,63275,45527,45252,81712,79508,63628,48753,47997,48403,32021,45619,151329,185808,110701,50728,56088,42469,55338,52085,58668,44099,79028,55573,79332,83259,66547,83100,20244,97744,351100,72084,36928,91720,45332,381697,40509,55061,398338,57067,56965,37947,52589,65047,38029,63358
"TCGA-A1-A0SK-01A-12R-A084-07",1706532,177563,285268,369761,136432,127311,345230,155684,358011,95139,156837,47466,338498,2207051,447256,24309,13052,185286,250409,380558,640724,112353,616160,354841,499877,335268,187978,344644,100256,15835,217768,297364,277382,482436,6134,323630,281134,96793,87775,147841,359204,87614,32406,64967,80648,99069,511621,477478,264999,125981,78982,155915,40396,101810,98261,31980,59987,229274,211297,136397,238621,201701,86835,285210,45289,42280,229452,91018,158931,51297,2309,268811,107348,206582,114741,13763,93006,179597,42829,85372,396394,22957,160746,51347,111282,59677,49170,147208,28656,126473,119767,145414,66148,81038,70330,43875,35389,94484,79248,248469,59310,126789,230637,110483,137285,41536,116692,31892,148426,173327,40934,140805,80579,91192,215152,108879,113898,20308,15496,89180,193948,81494,124836,665131,103090,27649,27972,19991,131390,69434,67295,114973,79619,105076,102242,61974,37808,13065,116666,6394,89423,55646,13563,14962,148394,33734,84688,136225,59782,75983,29307,36698,32181,175773,150237,136392,57264,226170,21061,37820,146784,124223,125652,54013,8409,115513,36766,25232,20927,92052,122212,91815,195534,54200,24302,119715,301575,38721,67120,79159,20301,60444,77833,21267,19158,70422,93043,43907,140998,1189,162689,179675,3043,56725,94597,85670,20901,93722,147704,37
"TCGA-A1-A0SM-01A-11R-A084-07",1360357,2214418,770635,1435704,1610352,1360298,1265986,216628,371152,722672,442331,267891,397068,570251,316070,140007,654411,206061,207891,139282,240481,229820,150733,183965,111118,154437,134645,196285,182812,230109,206933,175684,140227,122721,15334,189496,200644,255352,247487,183405,173315,167454,200137,109295,24887,285396,177629,114391,90447,246331,207276,146040,303569,137069,146348,175307,172082,101154,160469,108872,120377,103113,130292,105195,184908,362306,94336,139291,189105,242858,411583,656022,131660,110571,808589,162720,120369,136612,183384,189514,115148,131272,133107,243957,126695,162614,105779,97999,222802,81188,126326,78424,96493,122825,162290,159481,174090,71334,133075,56338,115456,87110,52778,131838,96518,161878,51224,104029,46052,81748,227780,70469,124856,82788,62349,82223,146337,128779,840066,104333,87441,59711,135930,150431,128511,60526,60189,245154,68708,63698,123644,73652,114699,59923,156372,98749,82138,166622,66179,176640,527264,52554,221889,76554,70432,72869,50663,58291,104270,68766,342202,137716,218030,58754,59986,50790,131379,54731,139453,214176,94034,77816,65615,121996,82688,52559,245209,116657,37787,52668,71136,46977,39860,60856,205433,50864,56987,57910,62613,38427,74700,76701,59830,197438,38928,66286,52847,86726,46885,112555,68355,57547,81615,54119,53062,32412,119455,64471,34574,77441
